12,15,23,32,33,46
2,8,34,38,47,51
4,11,19,25,37,55
1,19,41,46,48,55
5,15,28,32,38,54
5,22,30,32,33,36
1,2,14,28,40,51
8,9,32,52,53,57
7,29,38,40,44,52
8,11,22,25,26,36
19,26,39,45,46,56
11,37,53,55,56,60
3,9,25,28,29,39
3,19,25,37,44,56
5,11,24,27,32,57
10,31,38,46,49,54
3,16,17,37,38,53
16,18,38,48,51,60
2,7,10,20,30,46
2,3,32,35,48,57
5,8,29,39,44,60
10,35,43,48,50,53
2,11,19,27,57,60
3,7,10,11,27,46
6,7,11,26,37,57
10,12,26,29,35,60
4,5,6,14,29,38
3,22,37,40,41,48
9,16,34,36,49,60
7,26,29,34,43,44
